"plot","all_genres","raw_genre","genre","clean_text"
"Tanjiro ventures to the south-southeast where he encounters a cowardly young man named Zenitsu Agatsuma. He is a fellow survivor from Final Selection and his sparrow asks Tanjiro to help keep him in line.","Animation, Action, Fantasy","Animation","SciFi_Fantasy","tanjiro venture southsoutheast encounter cowardly young man named zenitsu agatsuma fellow survivor final selection sparrow asks tanjiro help keep line"
"Two traditionally rival Turkish families, ""Seferoglu""s and ""Tellioglu""s are competing for the ""Green Valley"". The winner will be determined by Daver Bey, who has a beautiful young daughter,...                See full summary »","Comedy","Comedy","Comedy_Family","two traditionally rival turkish family seferoglus tellioglus competing green valley winner determined daver bey beautiful young daughter see full summary"
"A young and beautiful female teacher starts working in an all boys high school.","Comedy","Comedy","Comedy_Family","young beautiful female teacher start working boy high school"
"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","Action, Adventure, Sci-Fi","Action","Action_Adventure","thief steal corporate secret use dreamsharing technology given inverse task planting idea mind ceo tragic past may doom project team disaster"
"An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.","Drama","Drama","Drama_Romance","insomniac office worker devilmaycare soap maker form underground fight club evolves much"
"A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.","Action, Adventure, Drama","Action","Action_Adventure","meek hobbit shire eight companion set journey destroy powerful one ring save middleearth dark lord sauron"
"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.","Drama, Romance","Drama","Drama_Romance","presidency kennedy johnson vietnam war watergate scandal historical event unfold perspective alabama man iq whose desire reunited childhood sweetheart"
"A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.","Adventure, Western","Adventure","Action_Adventure","bounty hunting scam join two men uneasy alliance third race find fortune gold buried remote cemetery"
"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","Action, Adventure, Drama","Action","Action_Adventure","frodo sam edge closer mordor help shifty gollum divided fellowship make stand saurons new ally saruman horde isengard"
"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.","Crime, Drama, Mystery","Crime","Crime_Thriller_Horror","tribal man arrested case alleged theft wife turn humanrights lawyer help bring justice"
"The Bride must kill her ex-boss and lover Bill who betrayed her at her wedding rehearsal, shot her in the head and took away her unborn daughter. But first, she must make the other four members of the Deadly Viper Assassination Squad suffer.","Action, Crime, Thriller","Action","Action_Adventure","bride must kill exboss lover bill betrayed wedding rehearsal shot head took away unborn daughter first must make four member deadly viper assassination squad suffer"
"Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it.","Adventure, Comedy, Drama","Adventure","Action_Adventure","dharma stuck rut negative lonely lifestyle spends day comfort loneliness pup named charlie enters life give new perspective towards"
"Based on the life of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994. Though free, he continues to fight for justice against the officials who falsely implicated him.","Biography, Drama","Biography","Drama_Romance","based life indian space research organization scientist nambi narayanan framed spy arrested though free continues fight justice official falsely implicated"
"From times untold where legends are written in soil with blood, a hero is born. Maula Jatt, a fierce prizefighter with a tortured past seeks vengeance against his arch nemesis Noori Natt, the most feared warrior in the land of Punjab.","Action, Drama, Fantasy","Action","Action_Adventure","time untold legend written soil blood hero born maula jatt fierce prizefighter tortured past seek vengeance arch nemesis noori natt feared warrior land punjab"
"Tanjiro teams up with Zenitsu and Inosuke to investigate missing person cases on the mountain Natagumo. They slowly begin to realize the entire mountain is being controlled by a family of Demon spider creatures.","Animation, Action, Fantasy","Animation","SciFi_Fantasy","tanjiro team zenitsu inosuke investigate missing person case mountain natagumo slowly begin realize entire mountain controlled family demon spider creature"
"Convinced that his subtenant is a spy and an enemy of the state, a man falls into deep paranoia which leads to absurd and destructive chain of events.","Comedy, Drama","Comedy","Comedy_Family","convinced subtenant spy enemy state man fall deep paranoia lead absurd destructive chain event"
"Oliver Twist (Indrans) wants to be tech-savvy and become a better companion to his two sons, who spend more time on their phones than with their loved ones.","Drama","Drama","Drama_Romance","oliver twist indrans want techsavvy become better companion two son spend time phone loved one"
"The Topalovic family has been in the burial business for generations. When the old (150 yrs old) Pantelija dies, five generations of his heirs start to fight for the inheritance.","Comedy, Drama","Comedy","Comedy_Family","topalovic family burial business generation old yr old pantelija dy five generation heir start fight inheritance"
"When a forbidden room in an old bungalow is unbolted, the spirit of a vengeful dancer is unleashed.","Comedy, Horror, Mystery","Comedy","Comedy_Family","forbidden room old bungalow unbolted spirit vengeful dancer unleashed"
"Saban, Ramazan and Bayram are sailors in an Ottoman Navy and Hüsamettin is their commander. Hüsamettin's aide Ramazan, Saban who is foster son of Hüsamettin's sister and Bayram who is ...                See full summary »","Comedy, Family, Mystery","Comedy","Comedy_Family","saban ramazan bayram sailor ottoman navy hüsamettin commander hüsamettins aide ramazan saban foster son hüsamettins sister bayram see full summary"
"A kind and hardworking student joins to Hababam Sinifi (The Chaos Class) but they don't accept him as one of them and he becomes the target of all class' pranks.","Adventure, Comedy","Adventure","Action_Adventure","kind hardworking student join hababam sinifi chaos class dont accept one becomes target class prank"
"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.","Adventure, Drama, Sci-Fi","Adventure","Action_Adventure","earth becomes uninhabitable future farmer exnasa pilot joseph cooper tasked pilot spacecraft along team researcher find new planet human"
"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.","Biography, Crime, Drama","Biography","Drama_Romance","story henry hill life mafia covering relationship wife karen mob partner jimmy conway tommy devito"
"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Action, Sci-Fi","Action","Action_Adventure","beautiful stranger lead computer hacker neo forbidding underworld discovers shocking truththe life know elaborate deception evil cyberintelligence"
"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.","Drama","Drama","Drama_Romance","fall korean war veteran criminal pleads insanity admitted mental institution rally scared patient tyrannical nurse"
"After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.","Action, Adventure, Fantasy","Action","Action_Adventure","rebel overpowered empire luke skywalker begin jedi training yoda friend pursued across galaxy darth vader bounty hunter boba fett"
"A heart-wrenching tale that captures the pain, suffering, and struggle of the Kashmiri Pandit community in 1990 and leads Krishna, a young college student, to set out on a quest to uncover the truth.","Drama","Drama","Drama_Romance","heartwrenching tale capture pain suffering struggle kashmiri pandit community lead krishna young college student set quest uncover truth"
"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.","Action, Drama","Action","Action_Adventure","nedumaaran rajangam maara set make common man fly process take world capital intensive industry several enemy stand way"
"It's April 5, 1941, somewhere in Serbia. A group of people go on a bus to Belgrade, on a journey that will change their lives forever.","Adventure, Comedy, Drama","Adventure","Action_Adventure","april somewhere serbia group people go bus belgrade journey change life forever"
"A law student from a lower caste begins a friendship with his classmate, a girl who belongs to a higher caste, and the men in her family start giving him trouble over this.","Drama","Drama","Drama_Romance","law student lower caste begin friendship classmate girl belongs higher caste men family start giving trouble"
"Biopic about Toma Zdravkovic, the man who is remembered not only for his songs and the unique way he sang them, but also as a bohemian, both in his behavior and his soul.","Biography, Drama, Music","Biography","Drama_Romance","biopic toma zdravkovic man remembered song unique way sang also bohemian behavior soul"
"Husamettin the commander in the army is constantly bothered by the stupidity of one of his soldiers Saban. After discharge from the army, Saban and his friend Ramazan work in a night club ...                See full summary »","Comedy, Crime, Mystery","Comedy","Comedy_Family","husamettin commander army constantly bothered stupidity one soldier saban discharge army saban friend ramazan work night club see full summary"
"A poor peasant, Feyzo returns from military service dreaming about getting married to Gülo, the love of his life. However, he has to face many obstacles. According to tradition, a man has ...                See full summary »","Comedy, Drama","Comedy","Comedy_Family","poor peasant feyzo return military service dreaming getting married gülo love life however face many obstacle according tradition man see full summary"
"The landlord of a village in eastern Turkey decides to sell his land after a severe drought and migrates to Istanbul with his family. However the struggle for survival in the 'big city' will not be easier for them.","Comedy, Drama","Comedy","Comedy_Family","landlord village eastern turkey decides sell land severe drought migrates istanbul family however struggle survival big city easier"
"A single father tries to raise his daughter, who has cerebral palsy, even as she is beginning to wake up to her sexuality.","Drama","Drama","Drama_Romance","single father try raise daughter cerebral palsy even beginning wake sexuality"
"A mid-aged couple with 6 kids who are running a pickle shop gets divorced with 3 kids each. The family members find each other years later with a funny story.","Comedy, Drama, Family","Comedy","Comedy_Family","midaged couple kid running pickle shop get divorced kid family member find year later funny story"
"A tale set on death row in a Southern jail, where gentle giant John possesses the mysterious power to heal people's ailments. When the lead guard, Paul, recognizes John's gift, he tries to help stave off the condemned man's execution.","Crime, Drama, Fantasy","Crime","Crime_Thriller_Horror","tale set death row southern jail gentle giant john possesses mysterious power heal people ailment lead guard paul recognizes john gift try help stave condemned man execution"
"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","Crime, Drama, Mystery","Crime","Crime_Thriller_Horror","two detective rookie veteran hunt serial killer us seven deadly sin motif"
"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.","Action, Sci-Fi","Action","Action_Adventure","cyborg identical one failed kill sarah connor must protect ten year old son john even advanced powerful cyborg"
"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","Drama, War","Drama","Drama_Romance","following normandy landing group u soldier go behind enemy line retrieve paratrooper whose brother killed action"
"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","Crime, Drama, Thriller","Crime","Crime_Thriller_Horror","young fbi cadet must receive help incarcerated manipulative cannibal killer help catch another serial killer madman skin victim"
"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.","Action, Adventure, Fantasy","Action","Action_Adventure","luke skywalker join force jedi knight cocky pilot wookiee two droids save galaxy empire worlddestroying battle station also attempting rescue princess leia mysterious darth vader"
"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts.","Animation, Adventure, Family","Animation","SciFi_Fantasy","family move suburb sullen yearold girl wanders world ruled god witch spirit world human changed beast"
"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","Crime, Drama","Crime","Crime_Thriller_Horror","slum rio two kid path diverge one struggle become photographer kingpin"
"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.","Comedy, Drama, Romance","Comedy","Comedy_Family","openminded jewish waiter son become victim holocaust us perfect mixture humor imagination protect son danger around camp"
"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.","Action, Drama","Action","Action_Adventure","farmer village exploited bandit hire veteran samurai protection gather six samurai join"
"An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.","Drama, Family, Fantasy","Drama","Drama_Romance","angel sent heaven help desperately frustrated businessman showing life would like never existed"
"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.","Action, Drama, Mystery","Action","Action_Adventure","ronin requesting seppuku feudal lord palace told brutal suicide another ronin previously visited reveals past intertwined challenge clan integrity"
"An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After he gets caught in jail, he sends a letter to Sita which won't reach her.","Action, Drama, Mystery","Action","Action_Adventure","orphan soldier lieutenant ram life change get letter girl named sita meet love blossom come back camp kashmirafter get caught jail sends letter sita wont reach"
"Follows the lives of 2 poor Brazilians and their schemes to get money and the consequences of their actions.","Comedy, Drama, Fantasy","Comedy","Comedy_Family","follows life poor brazilian scheme get money consequence action"
"During the war in Bosnia, two childhood friends eventually become enemies, as the tragic and devastating circumstances of the war put them on the opposite sides and expose the most gruesome and cruel aspects of the human nature.","Comedy, Drama, History","Comedy","Comedy_Family","war bosnia two childhood friend eventually become enemy tragic devastating circumstance war put opposite side expose gruesome cruel aspect human nature"
"Two men, one young and arrogant, the other damaged - physically but not spiritually - by life, are thrown together by circumstances, and find that they are in some ways bound together by fate.","Adventure, Comedy, Drama","Adventure","Action_Adventure","two men one young arrogant damaged physically spiritually life thrown together circumstance find way bound together fate"
"A common man's struggles against a corrupt police force put him on the wrong side of the law. He becomes a don, who is loved and respected by many, but his growing power and influence exact a heavy toll.","Crime, Drama","Crime","Crime_Thriller_Horror","common man struggle corrupt police force put wrong side law becomes loved respected many growing power influence exact heavy toll"
"Hababam Sinifi (The Chaos Class) continue to their adventures. Now first female students of the school history joins to the class and all Hababam Sinifi fight each other for them at first ...                See full summary »","Adventure, Comedy, Drama","Adventure","Action_Adventure","hababam sinifi chaos class continue adventure first female student school history join class hababam sinifi fight first see full summary"
"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.","Adventure, Comedy, Sci-Fi","Adventure","Action_Adventure","marty mcfly yearold high school student accidentally sent year past timetraveling delorean invented close friend maverick scientist doc brown"
"An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.","Crime, Drama, Thriller","Crime","Crime_Thriller_Horror","undercover cop mole police attempt identify infiltrating irish gang south boston"
"Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.","Drama, Thriller","Drama","Drama_Romance","greed class discrimination threaten newly formed symbiotic relationship wealthy park family destitute kim clan"
"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.","Action, Crime, Drama","Action","Action_Adventure","yearold mathilda reluctantly taken léon professional assassin family murdered unusual relationship form becomes protégée learns assassin trade"
"A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.","Drama, Music","Drama","Drama_Romance","promising young drummer enrolls cutthroat music conservatory dream greatness mentored instructor stop nothing realize student potential"
"A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.","Action, Adventure, Drama","Action","Action_Adventure","former roman general set exact vengeance corrupt emperor murdered family sent slavery"
"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.","Drama, Mystery, Sci-Fi","Drama","Drama_Romance","tragic accident two stage magician london engage battle create ultimate illusion sacrificing everything outwit"
"The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.","Horror, Sci-Fi","Horror","Crime_Thriller_Horror","crew commercial spacecraft encounter deadly lifeform investigating unknown transmission"
"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps.","Crime, Drama","Crime","Crime_Thriller_Horror","living life marked violence neonazi derek finally go prison killing two black youth upon release derek vow change hope prevent brother danny idolizes derek following footstep"
"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","Animation, Adventure, Drama","Animation","SciFi_Fantasy","lion prince simba father targeted bitter uncle want ascend throne"
"The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.","Crime, Drama, Mystery","Crime","Crime_Thriller_Horror","sole survivor pier shootout tell story notorious criminal influenced event began five criminal meeting seemingly random police lineup"
"A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.","Biography, Drama, Music","Biography","Drama_Romance","polish jewish musician struggle survive destruction warsaw ghetto world war ii"
"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","Biography, Comedy, Drama","Biography","Drama_Romance","becomes quadriplegic paragliding accident aristocrat hire young man project caregiver"
"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.","Horror, Mystery, Thriller","Horror","Crime_Thriller_Horror","phoenix secretary embezzles employer client go run check remote motel run young man domination mother"
"A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.","Drama, Romance, War","Drama","Drama_Romance","cynical expatriate american cafe owner struggle decide whether help former lover fugitive husband escape nazi french morocco"
"A young boy and his little sister struggle to survive in Japan during World War II.","Animation, Drama, War","Animation","SciFi_Fantasy","young boy little sister struggle survive japan world war ii"
"A photographer in a wheelchair spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.","Mystery, Thriller","Mystery","Crime_Thriller_Horror","photographer wheelchair spy neighbor greenwich village courtyard apartment window becomes convinced one committed murder despite skepticism fashionmodel girlfriend"
"A thief gets out of prison after many years and decides to try and locate someone from his past. After a series of events, he ends up becoming sheriff. Now he has to face his past while in his new position as sheriff.","Action","Action","Action_Adventure","thief get prison many year decides try locate someone past series event end becoming sheriff face past new position sheriff"
"A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.","Drama, Romance","Drama","Drama_Romance","filmmaker recall childhood falling love picture cinema home village form deep friendship cinema projectionist"
"The Tramp struggles to live in modern industrial society with the help of a young homeless woman.","Comedy, Drama, Romance","Comedy","Comedy_Family","tramp struggle live modern industrial society help young homeless woman"
"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.","Comedy, Drama, Romance","Comedy","Comedy_Family","aid wealthy erratic tippler dewyeyed tramp fallen love sightless flower girl accumulates money able help medically"
"An entomologist on vacation is trapped by local villagers into living with a woman whose life task is shoveling sand for them.","Drama, Thriller","Drama","Drama_Romance","entomologist vacation trapped local villager living woman whose life task shoveling sand"
"An Italian epic that follows the lives of two brothers from the 1960s to the 2000s.","Drama, Romance","Drama","Drama_Romance","italian epic follows life two brother"
"This final installment in Satyajit Ray's Apu Trilogy follows Apu's life as an orphaned adult aspiring to be a writer.","Drama","Drama","Drama_Romance","final installment satyajit ray apu trilogy follows apus life orphaned adult aspiring writer"
"Distrust and uncertainty arise when four long-term inmates cautiously induct a new prisoner into their elaborate prison-break scheme.","Crime, Drama, Thriller","Crime","Crime_Thriller_Horror","distrust uncertainty arise four longterm inmate cautiously induct new prisoner elaborate prisonbreak scheme"
"Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.","Drama, Romance","Drama","Drama_Romance","two high school sweetheart meet reunion year reminisce past"
"A recap of the popular anime series Shingeki no Kyojin from seasons 1-3.","Animation, Action, Adventure","Animation","SciFi_Fantasy","recap popular anime series shingeki kyojin season"
"The film revolves around four brothers who share a love-hate relationship with each other. Their relationship progresses to another level when Saji, Boney, and Franky decide to help Bobby stand by his love.","Comedy, Drama, Romance","Comedy","Comedy_Family","film revolves around four brother share lovehate relationship relationship progress another level saji boney franky decide help bobby stand love"
"A failed cricketer decides to revive his cricketing career in his late 30's despite everyone being skeptical of his ability to do so.","Drama, Sport","Drama","Drama_Romance","failed cricketer decides revive cricketing career late despite everyone skeptical ability"
"When Sarpatta Parambarai is challenged to a do-or-die match, will Kabilan, a young labourer, put on the gloves himself and lead his clan to victory, or be dissuaded by his disapproving mother and dangerous politics?","Action, Drama, Sport","Action","Action_Adventure","sarpatta parambarai challenged doordie match kabilan young labourer put glove lead clan victory dissuaded disapproving mother dangerous politics"
"Four labourers are tortured by the police to confess to a theft they have not committed.","Crime, Drama, Thriller","Crime","Crime_Thriller_Horror","four labourer tortured police confess theft committed"
"Three stories about Shurik - a young student. He fights against criminals, falls in love, confuses apartments, passes exams - he lives after all.","Comedy, Crime, Drama","Comedy","Comedy_Family","three story shurik young student fight criminal fall love confuses apartment pass exam life"
"Going through his daily routine in a stereotypical neighborhood, a street cleaner falls in love with a charwoman. Unfortunately for him, so does his boss.","Comedy, Romance","Comedy","Comedy_Family","going daily routine stereotypical neighborhood street cleaner fall love charwoman unfortunately bos"
"An orphan named Surya raised in a slum befriends a good crime boss named Devaraj and works for him. Their existence is threatened when a new honest district collector arrives.","Action, Crime, Drama","Action","Action_Adventure","orphan named surya raised slum befriends good crime bos named devaraj work existence threatened new honest district collector arrives"
"Story of a dilemma between a woman's love and her logic. Asya, a young girl with a strict mother, meets Ilyas who is a womanizer city man, and they quickly fall in love. They get over the ...                See full summary »","Drama, Romance","Drama","Drama_Romance","story dilemma woman love logic asya young girl strict mother meet ilyas womanizer city man quickly fall love get see full summary"
"An ingenuous countryman Ali Nazik migrates to Istanbul and meets producer Muhsin Kanadikirik to have his first album.","Comedy, Drama, Music","Comedy","Comedy_Family","ingenuous countryman ali nazik migrates istanbul meet producer muhsin kanadikirik first album"
"A man's simple lie to secure his job escalates into more complex lies when his orthodox boss gets suspicious.","Comedy, Romance","Comedy","Comedy_Family","man simple lie secure job escalates complex lie orthodox bos get suspicious"
"Zübük gets expelled from the political party that he is a member of, due to corruption. The journalist Yasar wants to make a news story about his case and investigates Zübük's doings. Yasar...                See full summary »","Comedy, Crime, Drama","Comedy","Comedy_Family","zübük get expelled political party member due corruption journalist yasar want make news story case investigates zübüks doings yasar see full summary"
"Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","Animation, Action, Adventure","Animation","SciFi_Fantasy","teen mile morale becomes spiderman universe must join five spiderpowered individual dimension stop threat reality"
"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.","Action, Adventure","Action","Action_Adventure","archaeologist adventurer indiana jones hired u government find ark covenant nazi obtain awesome power"
"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","Action, Adventure, Drama","Action","Action_Adventure","devastating event avenger infinity war universe ruin help remaining ally avenger assemble order reverse thanos action restore balance universe"
"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.","Drama, Western","Drama","Drama_Romance","help german bountyhunter freed slave set rescue wife brutal plantation owner mississippi"
"The rise of Arthur Fleck, from aspiring stand-up comedian and pariah to Gotham's clown prince and leader of the revolution.","Crime, Drama, Thriller","Crime","Crime_Thriller_Horror","rise arthur fleck aspiring standup comedian pariah gothams clown prince leader revolution"
"The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.","Action, Adventure, Sci-Fi","Action","Action_Adventure","avenger ally must willing sacrifice attempt defeat powerful thanos blitz devastation ruin put end universe"
"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.","Drama, Horror","Drama","Drama_Romance","family head isolated hotel winter sinister presence influence father violence psychic son see horrific foreboding past future"
"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.","Action, Drama, Mystery","Action","Action_Adventure","kidnapped imprisoned fifteen year oh daesu released find must find captor five day"
"A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.","Drama, Mystery, War","Drama","Drama_Romance","u army officer serving vietnam tasked assassinating renegade special force colonel see god"
"Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane.","Action, Drama, Thriller","Action","Action_Adventure","eight year joker reign chaos batman coerced exile assistance mysterious selina kyle order defend gotham city vicious guerrilla terrorist bane"
"A man with short-term memory loss attempts to track down his wife's murderer.","Mystery, Thriller","Mystery","Crime_Thriller_Horror","man shortterm memory loss attempt track wife murderer"
